test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_error,single_func_error,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users
18,400,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-16.000000000000057,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255
19,200,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
20,225,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
21,250,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
22,275,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
23,300,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
24,325,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-92.92307692307696,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255
25,350,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-67.28205128205133,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255
26,375,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-41.64102564102569,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255
29,225,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
28,200,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
30,250,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
27,400,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-16.000000000000057,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255
31,275,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
32,300,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
33,325,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-92.92307692307696,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255
34,350,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-67.28205128205133,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255
35,375,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-41.64102564102569,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255
36,400,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-16.000000000000057,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255
38,225,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
37,200,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
39,250,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
40,275,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
42,325,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-92.92307692307696,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255
41,300,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
43,350,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-67.28205128205133,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255
45,400,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-16.000000000000057,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255
44,375,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-41.64102564102569,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255
46,200,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
48,250,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
47,225,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
50,300,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
49,275,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
51,325,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-92.92307692307696,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,237.94871794871796,1.0256410256410255
52,350,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-67.28205128205133,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255
53,375,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-41.64102564102569,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255
54,400,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-16.000000000000057,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,314.87179487179486,1.0256410256410255
56,225,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
57,250,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
55,200,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
58,275,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
59,300,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
62,375,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-41.64102564102569,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,289.2307692307692,1.0256410256410255
61,350,13000000000,2,5,100,0.004,0.001,0.1,8000,60000,,,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-67.28205128205133,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,263.5897435897436,1.0256410256410255
