test_data_id,profit_per_user,model_size,module_count,topology_degree,bandwidth,gpu_cost,memory_cost,bandwidth_cost,computation_ability,memory_ability,multi_func_error,single_func_error,multi_func_min_cost_cost,multi_func_min_cost_deploy_cost,multi_func_min_cost_comm_cost,multi_func_min_cost_profit,multi_func_min_cost_users,multi_func_profit_cost,multi_func_profit_deploy_cost,multi_func_profit_comm_cost,multi_func_profit_profit,multi_func_profit_users,multi_func_worst_profit_cost,multi_func_worst_profit_deploy_cost,multi_func_worst_profit_comm_cost,multi_func_worst_profit_profit,multi_func_worst_profit_users,multi_func_max_users_cost,multi_func_max_users_deploy_cost,multi_func_max_users_comm_cost,multi_func_max_users_profit,multi_func_max_users_users,single_func_cost,single_func_deploy_cost,single_func_comm_cost,single_func_profit,single_func_users
15,25,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-400.61538461538464,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255
16,50,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-374.974358974359,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255
17,75,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-349.33333333333337,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255
18,100,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-323.69230769230774,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255
19,125,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-298.0512820512821,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255
20,150,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-272.41025641025647,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255
21,175,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-246.7692307692308,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255
22,200,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
23,225,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
24,250,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
25,275,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
26,300,13000000000,2,5,100,0.004,0.001,0.1,8000,24000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
27,0,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-426.2564102564103,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255
28,25,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-400.61538461538464,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255
29,50,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-374.974358974359,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255
30,75,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-349.33333333333337,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255
31,100,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-323.69230769230774,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255
32,125,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-298.0512820512821,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255
33,150,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-272.41025641025647,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255
34,175,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-246.7692307692308,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255
35,200,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
37,250,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
36,225,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
38,275,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
40,0,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-426.2564102564103,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255
39,300,13000000000,2,5,100,0.004,0.001,0.1,8000,36000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
42,50,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-374.974358974359,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255
47,175,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-246.7692307692308,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255
59,150,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-272.41025641025647,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255
54,25,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-400.61538461538464,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255
44,100,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-323.69230769230774,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255
41,25,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-400.61538461538464,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-69.74358974358972,1.0256410256410255
56,75,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-349.33333333333337,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255
48,200,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
46,150,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-272.41025641025647,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,58.46153846153848,1.0256410256410255
52,300,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-118.5641025641026,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,212.30769230769232,1.0256410256410255
53,0,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-426.2564102564103,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255
55,50,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-374.974358974359,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-44.10256410256408,1.0256410256410255
61,200,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-221.12820512820517,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,109.74358974358975,1.0256410256410255
63,250,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
62,225,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
49,225,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-195.48717948717953,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,135.3846153846154,1.0256410256410255
43,75,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-349.33333333333337,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-18.46153846153844,1.0256410256410255
57,100,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-323.69230769230774,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,7.179487179487197,1.0256410256410255
50,250,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-169.84615384615387,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,161.02564102564105,1.0256410256410255
66,0,13000000000,2,5,100,0.004,0.001,0.1,8000,50000,,,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-426.2564102564103,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,-95.38461538461536,1.0256410256410255
45,125,13000000000,2,5,100,0.004,0.001,0.1,8000,40000,,,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-298.0512820512821,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,32.820512820512846,1.0256410256410255
64,275,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-144.20512820512823,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,186.66666666666669,1.0256410256410255
60,175,13000000000,2,5,100,0.004,0.001,0.1,8000,45000,,,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,426.2564102564103,416.0,10.256410256410255,-246.7692307692308,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255,95.38461538461536,93.33333333333331,2.051282051282051,84.10256410256412,1.0256410256410255
